roadtype,loadkg,axles,climate,temperature,avg_speed,tire_age,wear_level,optimal_psi,failure_flag
urban,10905,3,dry,20,40,0.46,high,93.99,0
urban,19394,2,dry,23,60,0.9,low,111.99,0
urban,25575,3,cold,35,72,3.14,medium,109.72,1
urban,24208,2,cold,22,48,3.34,medium,117.51,1
mountain,19287,4,rainy,26,89,2.18,medium,103.0,0
urban,19552,3,dry,23,55,2.68,medium,103.84,0
mountain,11046,3,cold,8,79,3.62,low,99.48,0
urban,10648,2,rainy,39,50,2.02,medium,100.9,0
urban,17470,2,dry,29,63,1.71,medium,109.79,1
highway,11798,2,dry,26,46,3.19,medium,101.98,0
urban,11067,2,dry,35,76,2.2,low,102.4,0
urban,10096,3,dry,15,63,2.79,medium,96.16,0
highway,20656,2,cold,6,70,3.54,medium,113.71,0
urban,24951,4,cold,15,72,3.77,low,103.7,0
mountain,25237,3,dry,25,88,0.14,low,111.93,0
mountain,13082,2,rainy,30,61,3.99,medium,106.24,0
urban,21476,2,rainy,11,53,2.08,high,112.13,1
urban,17493,2,cold,26,80,1.06,low,110.46,0
urban,20071,2,dry,33,82,0.46,high,111.86,1
mountain,22351,3,cold,34,73,2.49,low,109.06,0
mountain,24391,4,dry,36,68,0.7,low,105.5,0
highway,22850,3,dry,5,84,0.61,low,107.48,0
highway,18667,4,dry,24,66,3.76,low,99.67,0
urban,22578,2,cold,37,59,3.58,low,116.14,0
mountain,23189,3,cold,28,72,2.17,low,109.62,0
mountain,16976,2,cold,19,57,1.13,medium,110.78,1
mountain,24029,4,cold,30,78,0.36,medium,105.59,0
highway,23654,2,rainy,24,49,2.53,low,116.89,0
mountain,17871,3,dry,8,64,2.94,medium,104.57,0
highway,21673,3,cold,25,61,2.0,medium,105.88,0
urban,17500,2,cold,31,52,0.78,high,107.42,1
highway,10624,3,cold,10,74,1.4,low,96.96,0
urban,14635,3,rainy,23,70,1.48,medium,100.34,0
highway,23955,4,cold,17,79,3.21,high,101.39,1
urban,25639,4,cold,7,68,1.07,medium,103.85,0
urban,16509,4,rainy,34,52,2.49,high,95.91,0
highway,25475,4,dry,25,75,3.17,medium,104.3,0
urban,14944,2,dry,33,42,1.21,low,105.86,0
highway,14321,4,dry,30,79,2.72,high,95.56,1
mountain,17610,4,dry,31,80,2.53,low,101.67,0
highway,24824,4,rainy,16,62,1.44,medium,103.24,0
highway,21238,4,cold,5,62,3.45,low,100.83,0
highway,19714,4,rainy,12,61,2.58,medium,99.94,0
urban,21806,2,cold,35,63,2.78,high,113.3,1
highway,22810,2,rainy,16,45,3.37,low,115.55,0
mountain,16734,4,dry,22,50,1.4,low,99.79,1
highway,15380,2,rainy,32,44,1.34,medium,106.46,1
highway,19615,2,dry,15,52,2.65,low,111.82,0
highway,13820,2,dry,29,55,0.42,low,104.91,0
highway,20402,4,dry,19,58,0.49,high,98.36,0
mountain,15626,4,rainy,32,48,3.88,medium,99.17,0
mountain,17713,3,rainy,35,83,2.5,low,105.61,0
mountain,19808,2,rainy,5,77,3.87,low,114.92,0
mountain,22192,4,dry,34,58,2.18,medium,103.7,0
highway,23671,4,cold,32,82,2.79,low,103.55,0
highway,23004,4,dry,37,70,3.03,high,100.73,1
urban,11389,4,cold,23,69,2.01,medium,95.22,0
urban,24045,3,cold,27,55,3.84,low,107.64,0
urban,14310,3,cold,6,69,1.88,high,97.78,0
urban,11639,4,cold,21,57,1.18,low,94.87,0
highway,19159,2,rainy,19,76,2.75,low,112.27,0
highway,17006,3,rainy,9,43,1.61,low,101.03,0
urban,20413,2,dry,30,80,3.14,medium,114.17,1
mountain,20173,4,cold,17,85,0.11,low,103.26,0
urban,20991,3,dry,38,41,0.83,medium,104.7,0
mountain,19214,3,dry,33,51,2.59,high,103.55,1
mountain,25109,2,dry,13,83,3.97,low,121.9,0
highway,14373,3,dry,32,86,0.27,medium,100.9,0
urban,14454,4,dry,30,72,1.37,low,97.36,0
urban,12460,3,rainy,7,87,0.9,medium,98.97,0
mountain,10798,3,dry,37,89,0.33,medium,100.11,0
highway,17678,4,dry,9,49,1.33,low,98.14,0
mountain,13959,4,rainy,38,71,2.34,high,97.13,0
